Edges: (2, 2, 2), Vertices: (5, 5, 5, 5), ΔΘ: -5
Edges: (2, 2, 2), Vertices: (5, 5, 5, 6), ΔΘ: -5
Edges: (2, 2, 2), Vertices: (5, 5, 5, 7), ΔΘ: -5
Edges: (2, 2, 2), Vertices: (5, 5, 6, 5), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 5, 6, 6), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 5, 6, 7), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 5, 7, 5), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 5, 7, 6), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 5, 7, 7), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 6, 5, 5), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 6, 5, 6), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 6, 5, 7), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (5, 6, 6, 5), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 6, 6, 6), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 6, 6, 7), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 6, 7, 5), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 6, 7, 6), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 6, 7, 7), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 7, 5, 5), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 7, 5, 6), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 7, 5, 7), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (5, 7, 6, 5), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 7, 6, 6), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 7, 6, 7), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (5, 7, 7, 5), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (5, 7, 7, 6), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (5, 7, 7, 7), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (6, 5, 5, 5), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (6, 5, 5, 6), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (6, 5, 5, 7), ΔΘ: -3
Edges: (2, 2, 2), Vertices: (6, 5, 6, 5), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 5, 6, 6), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 5, 6, 7), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 5, 7, 5), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 5, 7, 6), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 5, 7, 7), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 6, 5, 5), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 6, 5, 6), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 6, 5, 7), ΔΘ: -1
Edges: (2, 2, 2), Vertices: (6, 6, 6, 5), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 6, 6, 6), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 6, 6, 7), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 6, 7, 5), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (6, 6, 7, 6), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (6, 6, 7, 7), ΔΘ: 3
Edges: (2, 2, 2), Vertices: (6, 7, 5, 5), ΔΘ: 1
Edges: (2, 2, 2), Vertices: (6, 7, 5, 6), ΔΘ: 1
